Designator,Quantity,Description,Manufacturer,Mfr PN
"R22, R65, R114","3","RES, 0603, 200K ohms, 1%, 0.1W","KOA","RK73H1JTTD2003F"
"R23, R50, R76, R77, R86, R91, R111, R124, R133, R134, R151, R174, R197, R204, R206","15","RES, 0603, 100K ohms, 1%, 0.1W","KOA","RK73H1JTTD1003F"
"R46, R189, R198, R202","4","RES, 0603, 1K ohms, 1%, 0.1W","KOA","RK73H1JTTD1001F"
"R66, R78, R155, R160, R167, R179, R193, R194, R203","9","RES, 0603, 10 ohms, 1%, 0.1W","KOA","RK73H1JTTD10R0F"
"R67, R68","2","RES, 2512, 0 ohms, 1%, 1W","Stackpole","RMCF2512ZT0R00"
"R71, R73, R81","3","RES, 0805, 0.010 ohms, 1%, 0.25W","Susumu","RL1220T-R010-J"
"R72, R74, R205","3","RES, 0603, 100 ohms, 1%, 0.1W","KOA","RK73H1JTTD1000F"
"R75","1","RES, 0603, 19.6K ohms, 1%, 0.1W","KOA","RK73H1JTTD1962F"
"R79, R80","2","RES, 0805, 1.43K ohms, 1%, 0.25W","KOA","RK73H2ATTD1431F"
"R85, R94, R117, R118","4","RES, 0805, 165 ohms, 1%, 0.25W","KOA","RK73H2ATTD1650F"
"R93, R100, R108, R112, R113, R219, R220, R221","8","RES, 0603, 165 ohms, 1%, 0.1W","KOA","RK73H1JTTD1650F"
"R147, R181, R214","3","RES, 0805, 10 ohms, 1%, 0.25W","KOA","RK73H2ATTD10R0F"
"R149, R171","2","RES, 0603, 68.1K ohms, 1%, 0.1W","KOA","RK73H1JTTD6812F"
"R152","1","RES, 0603, 5.23K ohms, 1%, 0.1W","KOA","RK73H1JTTD5231F"
"R154, R201","2","RES, 0603, 8.25K ohms, 1%, 0.1W","KOA","RK73H1JTTD8251F"
"R156, R162, R164, R182, R184","5","RES, 0603, 22.1K ohms, 1%, 0.1W","KOA","RK73H1JTTD2212F"
"R175","1","RES, 0603, 13K ohms, 1%, 0.1W","KOA","RK73H1JTTD1302F"
"R176, R178","2","RES, 0603, 47K ohms, 1%, 0.1W","KOA","RK73H1JTTD4702F"
"R187, R210","2","RES, 0603, 619 ohms, 1%, 0.1W","KOA","RK73H1JTTD6190F"
"R199, R200","2","RES, 0603, 165K ohms, 1%, 0.1W","KOA","RK73H1JTTD1653F"
"R207, R213","2","RES, 0603, 1.1M ohms, 1%, 0.1W","KOA","RK73H1JTTD1104F"
"R211","1","RES, 0603, 147K ohms, 1%, 0.1W","KOA","RK73H1JTTD1473F"
"R212","1","RES, 0603, 17.8K ohms, 1%, 0.1W","KOA","RK73H1JTTD1782F"
"R222","1","RES, 0805, 49.9 ohms, 1%, 0.25W","KOA","RK73H2ATTD49R9F"
"U1, U5, U10, U11, U21, U22, U24, U25","8","M74VHC1GT125DF1G CMOS Level Shifter","ON Semiconductor","M74VHC1GT125DF1G"
"U2, U14, U17","3","H-Bridge Driver, 38V, 2.8A, 100KHz","TI","DRV8816PWPR"
"U3, U7","2","TC7SZ08FU,LJ(CT 2-input AND Gate","Toshiba","TC7SZ08FU,LJ(CT"
"U4","1","8/16-bit AVR XMEGA D3 Microcontroller, 1.6-3.6V, 32MHz, 64KB + 4KB Flash, 2KB EEPROM, 4KB SRAM, 64-pin TQFP, Industrial Grade (-40°C to 85°C), Pb-Free","Microchip","ATXMEGA64D3-AU"
"U6","1","Single Power Supply 2-INPUT POSITIVE OR GATE with Logic Level Shifter, DCK0005A, LARGE T&R","Texas Instruments","SN74LV1T32DCKR"
"U9","1","Remote 16-Bit I2C and SMBus I/O Expander with Interrupt Output and Configuration Registers, 1.65 to 5.5 V, -40 to 85 degC, 24-pin TSSOP (PW), Green (RoHS & no Sb/Br)","TI","TCA9555PWR"
"U12","1","LDO, 3.3V, 500mA","ST","LF33CPT-TR"
"U13","1","Dual Bi-Directional I2C-Bus and SMBus Voltage Level-Translator, 0 to 5.5 V, -40 to 85 degC, 8-pin SM8 (DCT), Green (RoHS & no Sb/Br)","TI","PCA9306DCTR"
"U15, U18","2","BUFFER, NON-INVERTING, LEVEL SHIFTING","TI","SN74LV1T34DCKR"
"U16","1","LDO, 2.8V, 100mA","TI","TPS76928DBVTG4"
"U19","1","CURRENT SENSE AMPLIFIER, 20 V/V","TI","LMP8601MA/NOPB"
"U20","1","IDEAL DIODE CONTROLLER, 36V, SOT-23","Linear","LTC4412HVIS6#TRPBF"
"U23","1","LDO, 1.8V, 100mA","TI","TPS76918DBVR"
"U26, U27","2","Buck Regulator, 4.5V - 60V","Intersil","ISL8117AFRZ-T7A"
"U28","1","AMPLIFIER, 20MHz, SOT-23-5","Texas Instruments","OPA322AIDBVR"
"U29","1","Stand-Alone USB-Friendly Synchronous Switch-Mode Li-Ion or Li-Polymer Battery Charger, 4.7 V, -40 to 85 degC, 24-pin VQFN (RGE), Green (RoHS & no Sb/Br)","Texas Instruments","BQ24610RGER"
"U30, U32, U34, U36, U37","5","SN74LV1T08DBVR 2-Input AND Gate","Texas Instruments","SN74LV1T08DBVR"
"U31, U33, U35","3","D FLIP-FLOP WITH CLEAR","Texas Instruments","SN74LVC1G175DCKR"
"X1","1","Sullins Connector Solutions, 26 Positions, 2x13, 3A","Sullins Connector Solutions","SBH11-PBPC-D13-ST-BK"
